SH, 05, 2015011618,   , BEST,   0, 226S,  671E, 110,  941, TY,  34, NEQ,  160,  150,  150,  160, 1000,  220,  27,   0,  45,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011618,   , BEST,   0, 226S,  671E, 110,  941, TY,  50, NEQ,  100,  100,  100,  100, 1000,  220,  27,   0,  45,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011618,   , BEST,   0, 226S,  671E, 110,  941, TY,  64, NEQ,   60,   60,   60,   60, 1000,  220,  27,   0,  45,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011700,   , BEST,   0, 233S,  678E, 105,  944, TY,  34, NEQ,  160,  150,  150,  160, 1000,  210,  22,   0,  35,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011700,   , BEST,   0, 233S,  678E, 105,  944, TY,  50, NEQ,  100,  100,  100,  100, 1000,  210,  22,   0,  35,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011700,   , BEST,   0, 233S,  678E, 105,  944, TY,  64, NEQ,   60,   60,   60,   60, 1000,  210,  22,   0,  35,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011706,   , BEST,   0, 238S,  685E,  95,  952, TY,  34, NEQ,  160,  200,  230,  135, 1001,  225,  27,   0,  45,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011706,   , BEST,   0, 238S,  685E,  95,  952, TY,  50, NEQ,  100,  100,  100,  100, 1001,  225,  27,   0,  45,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011706,   , BEST,   0, 238S,  685E,  95,  952, TY,  64, NEQ,   60,   60,   60,   60, 1001,  225,  27,   0,  45,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011712,   , BEST,   0, 244S,  699E,  95,  952, TY,  34, NEQ,  160,  210,  200,  135,  999,  225,  17,   0,  25,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011712,   , BEST,   0, 244S,  699E,  95,  952, TY,  50, NEQ,  100,  100,  100,  100,  999,  225,  17,   0,  25,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011712,   , BEST,   0, 244S,  699E,  95,  952, TY,  64, NEQ,   60,   60,   60,   60,  999,  225,  17,   0,  25,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011718,   , BEST,   0, 248S,  721E,  75,  967, TY,  34, NEQ,  155,  180,  190,  135,  999,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011718,   , BEST,   0, 248S,  721E,  75,  967, TY,  50, NEQ,   70,   80,   80,   70,  999,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011718,   , BEST,   0, 248S,  721E,  75,  967, TY,  64, NEQ,   30,   40,   40,   30,  999,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011800,   , BEST,   0, 250S,  742E,  75,  967, TY,  34, NEQ,  155,  180,  190,  135,  999,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011800,   , BEST,   0, 250S,  742E,  75,  967, TY,  50, NEQ,   70,   80,   80,   70,  999,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011800,   , BEST,   0, 250S,  742E,  75,  967, TY,  64, NEQ,   30,   40,   40,   30,  999,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011806,   , BEST,   0, 254S,  759E,  65,  974, TY,  34, NEQ,  135,  140,  120,  120,  998,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011806,   , BEST,   0, 254S,  759E,  65,  974, TY,  50, NEQ,   50,   60,   60,   45,  998,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011812,   , BEST,   0, 258S,  787E,  55,  982, TS,  34, NEQ,   95,  115,  100,  100,  997,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, M, 
SH, 05, 2015011812,   , BEST,   0, 258S,  787E,  55,  982, TS,  50, NEQ,   40,   50,   50,   35,  997,  200,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, M, 
SH, 05, 2015011818,   , BEST,   0, 276S,  820E,  40,  993, TS,  34, NEQ,    0,    0,    0,    0,  997,  175,  17,   0,   0,   S,   0,    ,   0,   0,      BANSI, S, 
