CP, 01, 2016011206,   , BEST,   0,  78N, 1717W,  75,  982, HU,  50, NEQ,   40,   30,   25,   40, 1008,  175,  25,  90,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011206,   , BEST,   0,  78N, 1717W,  75,  982, HU,  64, NEQ,   25,    0,    0,   25, 1008,  175,  25,  90,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011212,   , BEST,   0,  71N, 1714W,  80,  979, HU,  34, NEQ,   90,   60,   40,   90, 1009,  175,  20, 100,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011212,   , BEST,   0,  71N, 1714W,  80,  979, HU,  50, NEQ,   40,   30,   25,   40, 1009,  175,  20, 100,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011212,   , BEST,   0,  71N, 1714W,  80,  979, HU,  64, NEQ,   20,    0,    0,   20, 1009,  175,  20, 100,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  160,  140,  140,  150, 
CP, 01, 2016011218,   , BEST,   0,  65N, 1712W,  85,  977, HU,  34, NEQ,   90,   60,   60,   90, 1009,  175,  20, 105,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011218,   , BEST,   0,  65N, 1712W,  85,  977, HU,  50, NEQ,   40,   30,   30,   40, 1009,  175,  20, 105,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011218,   , BEST,   0,  65N, 1712W,  85,  977, HU,  64, NEQ,   20,    0,    0,   20, 1009,  175,  20, 105,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011300,   , BEST,   0,  57N, 1710W,  85,  977, HU,  34, NEQ,   90,   60,   60,   90, 1009,  175,  20, 105,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011300,   , BEST,   0,  57N, 1710W,  85,  977, HU,  50, NEQ,   40,   30,   30,   40, 1009,  175,  20, 105,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011300,   , BEST,   0,  57N, 1710W,  85,  977, HU,  64, NEQ,   20,    0,    0,   20, 1009,  175,  20, 105,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011306,   , BEST,   0,  51N, 1711W,  80,  979, HU,  34, NEQ,   90,   70,   70,   90, 1008,  180,  10, 100,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011306,   , BEST,   0,  51N, 1711W,  80,  979, HU,  50, NEQ,   50,   40,   40,   50, 1008,  180,  10, 100,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011306,   , BEST,   0,  51N, 1711W,  80,  979, HU,  64, NEQ,   20,   20,   20,   20, 1008,  180,  10, 100,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  125,  125,  150, 
CP, 01, 2016011312,   , BEST,   0,  41N, 1714W,  70,  984, HU,  34, NEQ,   90,   70,   70,   90, 1009,  150,  10,  85,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  180,  150,  180,  180, 
CP, 01, 2016011312,   , BEST,   0,  41N, 1714W,  70,  984, HU,  50, NEQ,   50,   40,   40,   50, 1009,  150,  10,  85,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  180,  150,  180,  180, 
